No.overall,No._inseason,Title,Directed_by,Written_by,Original_air_date,Prod.code,U.S._viewers_millions,Season
98,11,"""The Speckerman Recurrence""",Anthony Rich,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Anthony Del Broccolo,08/12/2011,3X6861,14,5
99,12,"""The Shiny Trinket Maneuver""",Mark Cendrowski,Story by : Chuck Lorre & Steve Holland & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds,12/01/2012,3X6862,16.1,5
100,13,"""The Recombination Hypothesis""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Steven Molaro,19/01/2012,3X6863,15.8,5
101,14,"""The Beta Test Initiation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by : Bill Prady & Dave Goetsch & Maria Ferrari,26/01/2012,3X6864,16.1,5
102,15,"""The Friendship Contraction""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Steve Holland,02/02/2012,3X6865,16.5,5
103,16,"""The Vacation Solution""",Mark Cendrowski,Story by : Chuck Lorre & Anthony Del Broccolo & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,09/02/2012,3X6866,16.2,5
104,17,"""The Rothman Disintegration""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Jim Reynolds,16/02/2012,3X6867,15.6,5
105,18,"""The Werewolf Transformation""",Mark Cendrowski,Story by : Chuck Lorre & Todd Craig & Gary TorvinenTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds & Maria Ferrari,23/02/2012,3X6868,16.2,5
106,19,"""The Weekend Vortex""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Tara HernandezTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,08/03/2012,3X6869,15,5
107,20,"""The Transporter Malfunction""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Maria FerrariTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,29/03/2012,3X6870,13.9,5
108,21,"""The Hawking Excitation""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Steve HollandTeleplay by : Chuck Lorre & Eric Kaplan & Maria Ferrari,05/04/2012,3X6871,13.2,5
109,22,"""The Stag Convergence""",Peter Chakos,Story by : Billy Prady & Steve Holland & Eric KaplanTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,26/04/2012,3X6872,12.6,5
110,23,"""The Launch Acceleration""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by : Bill Prady & Steve Holland & Maria Ferrari,03/05/2012,3X6873,13.9,5
111,24,"""The Countdown Reflection""",Mark Cendrowski,Story by : Bill Prady & Eric Kaplan & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,10/05/2012,3X6874,13.7,5
112,1,"""The Date Night Variable""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,27/09/2012,3X7601,15.6,6
113,2,"""The Decoupling Fluctuation""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,04/10/2012,3X7602,15.1,6
114,3,"""The Higgs Boson Observation""",Mark Cendrowski,Story by : Steven Molaro & Dave Goetsch & Steve HollandTeleplay by : Chuck Lorre & Jim Reynolds & Maria Ferrari,11/10/2012,3X7603,14.2,6
115,4,"""The Re-Entry Minimization""",Mark Cendrowski,Story by : Bill Prady & Jim Reynolds & Anthony Del BroccoloTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,18/10/2012,3X7604,15.7,6
116,5,"""The Holographic Excitation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jeremy HoweTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,25/10/2012,3X7605,15.8,6
117,6,"""The Extract Obliteration""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Eric Kaplan,01/11/2012,3X7606,15.9,6
118,7,"""The Habitation Configuration""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,08/11/2012,3X7607,16.6,6
119,8,"""The 43 Peculiarity""",Mark Cendrowski,Story by : Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,15/11/2012,3X7608,17.6,6
120,9,"""The Parking Spot Escalation""",Peter Chakos,Story by : Chuck Lorre & Eric Kaplan & Adam FabermanTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,29/11/2012,3X7609,17.2,6
121,10,"""The Fish Guts Displacement""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Tara HernandezTeleplay by : Steven Molaro & Eric Kaplan & Jim Reynolds,06/12/2012,3X7610,16.9,6
122,11,"""The Santa Simulation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,13/12/2012,3X7611,16.7,6
123,12,"""The Egg Salad Equivalency""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Bill Prady & Steve Holland,03/01/2013,3X7612,19.2,6
124,13,"""The Bakersfield Expedition""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,10/01/2013,3X7613,20,6
125,14,"""The Cooper/Kripke Inversion""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Anthony Del BroccoloTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,31/01/2013,3X7614,17.7,6
126,15,"""The Spoiler Alert Segmentation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Maria Ferrari & Adam Faberman,07/02/2013,3X7615,18.9,6
